mapping, replan, sfc, mpc, df, 
0, 0.000232, 0.289199, 2.22966, 0.002223, 
13.1698, 0.000278, 0.227508, 2.45975, 0.002593, 
0, 0.000232, 0.597601, 4.74191, 0.002577, 
0, 0.000237, 0.581284, 4.05672, 0.002028, 
0, 0.000234, 0.673047, 4.66814, 0.002418, 
0, 0.000265, 0.56136, 4.56765, 0.002797, 
0, 0.000199, 0.555411, 4.10357, 0.002226, 
0, 0.000215, 0.360121, 3.30057, 0.002087, 
0, 0.000208, 0.323265, 3.8525, 0.002417, 
0, 0.000256, 0.329404, 3.90451, 0.002424, 
0, 0.000268, 0.096312, 1.96183, 0.00279, 
14.3999, 8.9e-05, 0.195843, 2.02179, 0.002037, 
0, 0.000264, 0.415755, 4.03882, 0.003687, 
0, 0.000229, 0.394977, 3.96723, 0.019546, 
0, 0.000212, 0.352148, 4.08261, 0.002465, 
0, 0.000188, 0.3691, 3.94305, 0.003436, 
0, 0.000247, 0.397891, 4.15014, 0.003972, 
0, 0.000273, 0.36913, 3.93826, 0.00223, 
0, 0.000263, 0.360383, 3.9757, 0.002167, 
0, 0.000167, 0.382135, 4.16319, 0.003964, 
0, 0.00037, 0.102027, 1.62218, 0.001552, 
14.1152, 0.000138, 0.154726, 2.00166, 0.001756, 
0, 0.000211, 0.390285, 4.09908, 0.002809, 
0, 0.000245, 0.370876, 4.60012, 0.002416, 
0, 0.000188, 0.357803, 3.81039, 0.002248, 
0, 0.000243, 0.354173, 4.07545, 0.011789, 
0, 0.000195, 0.403801, 4.02448, 0.002215, 
0, 0.000631, 0.368298, 4.08076, 0.002868, 
0, 0.000253, 0.366784, 3.95649, 0.002946, 
0, 0.000203, 0.51403, 5.7813, 0.068933, 
0, 0.000173, 0.091261, 1.60432, 0.001886, 
11.9267, 0.000111, 0.241052, 2.70882, 0.001921, 
0, 0.000295, 0.479695, 5.3812, 0.003583, 
0, 0.000189, 0.242437, 2.95857, 0.002134, 
0, 0.000177, 0.333311, 3.80227, 0.002175, 
0, 0.000149, 0.31935, 4.67658, 0.002965, 
0, 0.000177, 0.341682, 3.77862, 0.001891, 
0, 0.000166, 0.371735, 3.74788, 0.002041, 
0, 0.00021, 0.343389, 3.80917, 0.002322, 
0, 0.000173, 0.353391, 3.69951, 0.001986, 
0, 0.0002, 0.077142, 0.645127, 0.00145, 
9.17375, 0.000177, 0.237722, 2.04534, 0.001903, 
